<Event(17-VideoExpose {})>
<Event(1-ActiveEvent {'state': 1, 'gain': 0})>
<Event(1-ActiveEvent {'state': 1, 'gain': 1})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (558, 397), 'rel': (558, 397)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (303, 191), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (305, 190), 'rel': (2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (306, 190), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (307, 190), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (309, 189), 'rel': (2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (310, 189), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (311, 189), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (312, 188), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (313, 188), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (314, 188), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (315, 188), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (317, 188), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (317, 186), 'rel': (0, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (318, 186), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (320, 185), 'rel': (2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (321, 185), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (322, 185), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (324, 185), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (325, 185), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (326, 185), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (327, 185), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (329, 185), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (329, 184), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (331, 184), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (332, 184), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (333, 184), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (334, 184), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (335, 184), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (336, 184), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (337, 184), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (339, 184), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (340, 184), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (341, 184), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (341, 185), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (342, 185), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (342, 186), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (342, 188), 'rel': (0, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (343, 188), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 189), 'rel': (1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 190), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 191), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 192), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 193), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 194), 'rel': (1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 196), 'rel': (0, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 197), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 198), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 199), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 200), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 201), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 202), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 204), 'rel': (0, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 205), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 206), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 207), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 208), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 210), 'rel': (0, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 212), 'rel': (0, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 213), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 214), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 215), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 216), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 217), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 220), 'rel': (-1, 3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 221), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (343, 222), 'rel': (-1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (342, 223), 'rel': (-1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (341, 224), 'rel': (-1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (341, 225), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (339, 228), 'rel': (-2, 3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (337, 229), 'rel': (-2, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (337, 230), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (335, 232), 'rel': (-2, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (334, 233), 'rel': (-1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (332, 234), 'rel': (-2, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (331, 235), 'rel': (-1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (330, 236), 'rel': (-1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (328, 237), 'rel': (-2, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (326, 239), 'rel': (-2, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (325, 240), 'rel': (-1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (322, 240), 'rel': (-3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (321, 241), 'rel': (-1, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (319, 242), 'rel': (-2, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (318, 242), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (316, 243), 'rel': (-2, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (312, 245), 'rel': (-4, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (311, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (309, 245), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (306, 245), 'rel': (-3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (305, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (301, 245), 'rel': (-4, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (300, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (299, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (297, 245), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (294, 245), 'rel': (-3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (292, 245), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (289, 245), 'rel': (-3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (286, 245), 'rel': (-3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (284, 245), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (283, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (280, 245), 'rel': (-3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (278, 245), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (277, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (274, 245), 'rel': (-3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (273, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (272, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (270, 245), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (268, 245), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (267, 245), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (266, 243), 'rel': (-1, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 243), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 242), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 241), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 240), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 239), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 238), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 237), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 235), 'rel': (0, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (264, 234), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (265, 233), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (265, 232), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (266, 231), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (267, 230), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (267, 229), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (268, 227), 'rel': (1, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (270, 226), 'rel': (2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (271, 225), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (272, 224), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (272, 223), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (274, 223), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (275, 222), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (278, 221), 'rel': (3, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (279, 219), 'rel': (1, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (280, 219), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (283, 218), 'rel': (3, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (285, 218), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (285, 217), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (288, 217), 'rel': (3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (289, 217), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (290, 216), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (292, 215), 'rel': (2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (294, 215), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (295, 215), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (297, 213), 'rel': (2, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (298, 213), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (299, 213), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (302, 213), 'rel': (3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (303, 212), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (304, 212), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (307, 212), 'rel': (3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (308, 211), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (309, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (311, 211), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (312, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (314, 211), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (315, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (316, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (318, 211), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (321, 211), 'rel': (3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (322, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (323, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (324, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (327, 211), 'rel': (3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (328, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (329, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (330, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (331, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (332, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (333, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (335, 211), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (336, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (337, 211), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (337, 212), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (338, 212), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (339, 212), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (339, 213), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (340, 213), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (341, 215), 'rel': (1, 2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (343, 216), 'rel': (2, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 216), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 217), 'rel': (0, 1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (345, 217), 'rel': (1, 0)})>
